"Gene_Symbol","Andocsa"
"B4GALNT3","0.988744835446645"
"LRRC43","1"
"LRRC43","1"
"LRRC43","1"
"ZFC3H1","1.00547368421053"
"IRAK2","1.00020995171111"
"ICMT-DT","1"
"OTOGL","1"
"FAM76B","0.987461325517017"
"SPATA25","1.00610783487784"
"GLIS3-AS1","1"
"PRR14L","1.0005980861244"
"AJUBA","1.15075127281758"
"KLHL32","1"
"DCBLD1","0.979066641060111"
"SLAMF9","0.998527865404837"
"GOLGA4-AS1","1.03509878100042"
"UBE2U","1"
"METTL27","0.959820761762509"
"LINC00638","1"
"ZC3HAV1L","0.998111624003357"
"RASGEF1B","1"
"KCNJ5-AS1","0.847295561581276"
"STOML3","0.999398073836276"
"SILC1","0.990190308024328"
"FBXL13","1"
"DTD2","1.03296339241345"
"SOX3","1"
"SPATA32","0.99942605701167"
"C3orf49","0.998461538461539"
"NKX2-3","1"
"TMEM252","1.00721500721501"
"CIP2A","1.00062998740025"
"FAM222A-AS1","1"
"TCEANC","1"
"RTP1","1"
"RTP1","1"
"PRR35","1.05001992825827"
"CYP1B1-AS1","1"
"MAGEA2B","0.997898276586801"
"LINC00315","1"
"COL6A5","1.00042105263158"
"PGAM5","1"
"C4orf45","1"
"BEND2","1"
"C10orf67","1"
"C10orf67","1"
"C10orf67","1"
"CBY2","1.00105307497894"
"CCDC26","1.00084245998315"
"SPIC","1"
"P2RY10","1"
"IGSF22","1.00784753363229"
"ZBTB3","0.9984375"
"DCST1","1"
"WDFY4","1"
"KIAA0825","1"
"CSNK1G2-AS1","1"
"KLHL34","1"
"ZSCAN10","0.999789429353548"
"SAMD3","1"
"GOT1L1","1.04681943895693"
"LINC02870","1.01741884402217"
"LINC00504","1"
"ZNF99","1"
"ZNF99","1"
"SIGLECL1","1"
"LDHAL6A","1"
"MRGPRX2","1"
"NTN5","0.999789429353548"
"KLF17","1"
"CCDC105","1"
"C11orf42","1"
"POM121L15P","1"
"ZNF486","0.980723839496459"
"CFAP47","1"
"EXD1","1"
"SLF2","0.985406532314107"
"NBPF4","1"
"ZNF663P","1"
"LINC00955","1.01124063280599"
"LINC01517","1.00313610704579"
"LINC00479","1.00352319436289"
"LINC02907","1"
"SHOC1","1.00042122999158"
"SLC22A24","1.00042122999158"
"FMO9P","1"
"C7orf33","1"
"ELMOD2","0.981197170950492"
"ACER1","1.00655737704918"
"OSTCP1","0.999578947368421"
"LINC00305","1"
"BFSP2-AS1","1.00084210526316"
"MIA2","1.00147120638924"
"GPHB5","1"
"DCD","1"
"EXOSC6","0.995407098121086"
"ZDHHC19","1"
"ALG14","0.996394046340341"
"PPP1R21","1.01157038651798"
"TMEM237","1.02359095844438"
"ZNF564","1.03640960809102"
"B3GALT6","0.990811026767878"
"SNX21","0.988324457189676"
"RHOB","1.0070892410342"
"CBS","1"
"SPINK6","1"
"C22orf39","0.994940170940171"
"BORCS8","0.946453041003478"
"ZNF121","1.02770947040125"
"RAB7B","1.00191644308164"
"DTYMK","0.983088819830888"
"ATP6V1C2","1"
"BRICD5","1.00712307083498"
"NBR2","0.838773946360153"
"ASPHD1","0.964481800311801"
"DMRTC1B","1"
"TRIM37","0.999791100898266"
"ARHGEF28","1.0174371083462"
"OSMR","1"
"RSPO2","1.00629855133319"
"CHD2","1.0230920217065"
"BICD1","1.01748542880933"
"SLC4A4","0.895673271330368"
"ARSB","0.994991652754591"
"FRMD4A","1.00020995171111"
"DGLUCY","0.991339031339031"
"TMEM239","1"
"ZNF670","1.01148705096074"
"MRAP","1.00189553496209"
"TXNDC9","0.982796124184299"
"SPTLC1","1.03482486333266"
"ASH1L-AS1","0.845014807502468"
"SETMAR","1.00753564154786"
"KICS2","0.988377542412597"
"DNAJA3","0.957609214202958"
"NOL9","1.00014788524105"
"DDX51","0.996827670896439"
"SNAPC5","0.969641656259007"
"RBM33","0.979599015124868"
"MIR31HG","1.02376461712561"
"SPIN3","0.980809887786632"
"TMTC4","0.987320837927233"
"TMEM185A","1.02427564604542"
"SSH2","1"
"CCDC60","1"
"USB1","1.00297737197301"
"HSD17B12","1.00400168491997"
"NLGN4Y","0.999793644242674"
"MSRB3","1"
"MSRB3","1"
"ADIG","1"
"RUFY2","1.00667976424362"
"SUGT1P3","0.979603507434236"
"CFAP91","1"
"OGDH","0.986021505376344"
"WFDC8","1"
"WFDC8","1"
"TWIST2","1"
"MBLAC1","0.95169616519174"
"CD300LB","1.03757575757576"
"C3orf33","1"
"SLURP2","1"
"SNX32","1"
"TRIM74","1.00514647664291"
"POU2AF2","1.00102838338132"
"TRMT44","1"
"C5orf46","1.44742919654795"
"IZUMO1","1"
"PTPRO","1"
"CABP4","1.08132685749716"
"GRIK1-AS1","1"
"MEI1","1"
"ZCCHC13","1"
"LINC01869","1"
"LINC02712","1.00021061499579"
"BAALC-AS2","1"
"ZNF396","1.02635825712749"
"C1QTNF9","1"
