"","X","gene_id","L2FC","L2FCSE","p.value","p.adjust","symbol"
"164",164,"ENSG00000202415",0.0188596376008701,0.126381588600367,0.054486517343502,NA,NA
"165",165,"ENSG00000162444",0.0361685521966159,0.12836981309027,0.229504328418777,0.648052147924518,"RBP7"
"166",166,"ENSG00000130939",-0.115731141108713,0.110251349986516,0.114935105561263,0.524444249169939,"UBE4B"
"167",167,"ENSG00000054523",0.0472815755509413,0.0995877103459577,0.438838753855717,0.790289469088249,"KIF1B"
"168",168,"ENSG00000284735",-0.00755692498978222,0.124812083939063,0.154257542289285,NA,NA
"169",169,"ENSG00000284642",0.00462450129058255,0.124408038419273,0.579694163716748,NA,NA
"170",170,"ENSG00000142657",0.0175288922054531,0.0950607593392079,0.820549123423654,0.952404411978905,"PGD"
"171",171,"ENSG00000175279",-0.0440978101283905,0.131987053381249,0.150034322594451,0.574530244199958,"CENPS"
"172",172,"ENSG00000241563",0.00466708047044004,0.12429243978097,0.622991884286132,NA,"CORT"
"173",173,"ENSG00000160049",0.236148853930167,0.162194790332421,0.0167997911604493,0.246492264600121,"DFFA"
"174",174,"ENSG00000142655",0.0507581093999407,0.107195445776807,0.41974916038024,0.780321000292419,"PEX14"
"175",175,"ENSG00000130940",-0.048494624436514,0.123851528936165,0.333266834781993,0.726428873335011,"CASZ1"
"176",176,"ENSG00000272078",-0.0347839108915121,0.130217321945903,0.0823978975786364,NA,NA
"177",177,"ENSG00000120948",0.0452904623528267,0.116826627635957,0.422118294565468,0.781130627908587,"TARDBP"
"178",178,"ENSG00000009724",0.0181191196442571,0.124272641408845,0.428003233960038,NA,"MASP2"
"179",179,"ENSG00000271895",0.000300810022708002,0.123202494940375,0.953977702340121,NA,NA
"180",180,"ENSG00000116649",0.0808643936268106,0.126451921067541,0.228977044764891,0.647917078293077,"SRM"
"181",181,"ENSG00000171824",0.0950526257753983,0.11739550376971,0.179159060820745,0.603367627623076,"EXOSC10"
"182",182,"ENSG00000230337",-0.011289556696237,0.123759369111264,0.559990767656221,NA,"EXOSC10-AS1"
"183",183,"ENSG00000198793",-0.054077553770203,0.104354495292342,0.399373983238705,0.767809755948708,"MTOR"
"184",184,"ENSG00000120942",-0.10200249995535,0.127932166773355,0.15141833214911,0.576434199393881,"UBIAD1"
"185",185,"ENSG00000238199",0.0127923706165965,0.124774946586508,0.355072059393584,NA,NA
"186",186,"ENSG00000204624",-0.000304770986784953,0.123771157136563,0.987812031756312,NA,"DISP3"
"187",187,"ENSG00000235643",0.036360243494067,0.131893317495718,0.0173127190347464,NA,"LINC01647"
"188",188,"ENSG00000116661",-0.0111019332390755,0.120119041746208,0.732862284420482,0.923964232276656,"FBXO2"
"189",189,"ENSG00000132879",0.0782581069038365,0.144807382743889,0.136657179353254,0.558371542166694,"FBXO44"
"190",190,"ENSG00000116663",-0.00049199028717275,0.123642181694222,0.973930000185745,NA,"FBXO6"
"191",191,"ENSG00000116670",-0.0350754431397054,0.116873201827481,0.48864357748717,0.81472285195818,"MAD2L2"
"192",192,"ENSG00000162490",-0.0129187144996486,0.124910686085336,0.312512083451969,NA,"DRAXIN"
"193",193,"ENSG00000177674",-0.0428385981527592,0.122291949489912,0.371633758863767,0.750837345792198,"AGTRAP"
"194",194,"ENSG00000177000",-0.042227856818487,0.11816181521763,0.434783591184548,0.788143367343753,"MTHFR"
"195",195,"ENSG00000011021",0.0535304292078848,0.114426610914226,0.377322012209234,0.753887409952171,"CLCN6"
"196",196,"ENSG00000175206",-0.000504903705573158,0.124102385881126,0.955825199030031,NA,"NPPA"
"197",197,"ENSG00000120937",-0.00910458114876919,0.124854552937631,0.21802399287205,NA,"NPPB"
"198",198,"ENSG00000199347",0.00418409394334119,0.124462217685376,0.554717495345716,NA,"RNU5E-1"
"199",199,"ENSG00000116685",-0.00545973868565727,0.105762428524094,0.833272476087575,0.957042529857835,"KIAA2013"
"200",200,"ENSG00000083444",-0.107988945451631,0.141505614990017,0.141461861307357,0.564182276864736,"PLOD1"
"201",201,"ENSG00000116688",-0.00598785107663109,0.102017400043686,0.906938029485183,0.976683334456268,"MFN2"
"202",202,"ENSG00000116691",-0.0026747766055398,0.116274094941287,0.948121399605348,0.986239015406721,"MIIP"
"203",203,"ENSG00000120949",0.00716699895370315,0.122829091032616,0.747362776916533,NA,"TNFRSF8"
"204",204,"ENSG00000028137",-0.00288896394405412,0.120275687042915,0.926062035941339,0.98312324819587,"TNFRSF1B"
"205",205,"ENSG00000048707",-0.141006455468067,0.141808339239133,0.0761701143781854,0.454217215778768,"VPS13D"
"206",206,"ENSG00000239149",-0.00717916101523502,0.124650767752748,0.339454837034898,NA,"SNORA59B"
"207",207,"ENSG00000162496",-0.00866912505815643,0.113487700881071,0.852166539071837,0.961361844987301,"DHRS3"
"208",208,"ENSG00000272482",0.00461274886693487,0.124252148581396,0.658874537998414,NA,NA
"209",209,"ENSG00000179172",0.0131140882840788,0.124177534762529,0.481589155912743,NA,"HNRNPCL1"
"210",210,"ENSG00000277058",0.00377058402530758,0.124475612603335,0.568133449477603,NA,"HNRNPCL3"
"211",211,"ENSG00000275774",0.0101854251191679,0.124591783382482,0.385279619523367,NA,"HNRNPCL2"
"212",212,"ENSG00000179412",-0.000658470697890815,0.124212088185196,0.943217025609273,NA,"HNRNPCL4"
"213",213,"ENSG00000162494",-0.0196959744363304,0.126051163048478,0.174377527714619,NA,"LRRC38"
"214",214,"ENSG00000162493",-0.0536268861000261,0.119291437031412,0.35382070980628,0.740305547830637,"PDPN"
"215",215,"ENSG00000116731",0.0392131070974901,0.111839199399647,0.490845074468604,0.815500272543402,"PRDM2"
"216",216,"ENSG00000189337",0.0283228121831282,0.112253342505609,0.599356687262368,0.869464062205062,"KAZN"
"217",217,"ENSG00000175147",-0.00120928490745877,0.124343444577388,0.868676114317519,NA,"TMEM51-AS1"
"218",218,"ENSG00000171729",0.02921608211516,0.103552419896248,0.631464929690129,0.883273536884769,"TMEM51"
"219",219,"ENSG00000142621",0.012812041077306,0.12238669445278,0.632288927132023,0.883892245402731,"FHAD1"
"220",220,"ENSG00000228140",0.00787692440513955,0.124628705199721,0.366099942899898,NA,NA
"221",221,"ENSG00000142634",0.0703738040253615,0.102955930356975,0.294435860717435,0.701608775726581,"EFHD2"
"222",222,"ENSG00000132906",-0.0728958814823613,0.129543119205406,0.224109526618612,0.644121462479101,"CASP9"
"223",223,"ENSG00000116138",0.117838829513019,0.132326365836644,0.115730987641277,0.525634724887804,"DNAJC16"
"224",224,"ENSG00000116771",0.0296994507765428,0.110252631335277,0.595698488065602,0.867477754692743,"AGMAT"
"225",225,"ENSG00000237301",-0.0103672134206799,0.124818491513533,0.297666480490055,NA,NA
"226",226,"ENSG00000235084",-0.0557959955386824,0.133708388349982,0.192066474323679,0.613312734558361,NA
"227",227,"ENSG00000197312",0.000420893735538367,0.0946500022776449,0.960553659132756,0.989037768794647,"DDI2"
"228",228,"ENSG00000116786",-0.00951213372097337,0.105255630751109,0.855918974040838,0.962340533444112,"PLEKHM2"
"229",229,"ENSG00000237938",0.00470288166863378,0.123314622449805,0.80048318478227,NA,NA
"230",230,"ENSG00000162461",0.043107219034608,0.134873630306471,0.0113069182672993,NA,"SLC25A34"
"231",231,"ENSG00000162458",-0.148639185821098,0.173969080835021,0.0632484756590123,0.422221907872529,"FBLIM1"
"232",232,"ENSG00000224321",-0.0370680269141835,0.122629723102407,0.400711073119511,0.768177290256387,NA
"233",233,"ENSG00000233954",-0.0225317407839538,0.102154208711495,0.702151550992333,0.911138314448692,"UQCRHL"
"234",234,"ENSG00000178715",-0.0604649374890194,0.132021337886634,0.223815762472243,0.643851180302603,"RPS16P1"
"235",235,"ENSG00000179743",0.0348761846471288,0.125702646152626,0.332286344772203,0.726237869950968,"FLJ37453"
"236",236,"ENSG00000065526",0.00944959963050078,0.0987700334106978,0.876073904087808,0.967122538678504,"SPEN"
"237",237,"ENSG00000116809",0.0478947987460208,0.106951884557999,0.446166750425598,0.793643540504022,"ZBTB17"
"238",238,"ENSG00000173641",-0.0654315928037946,0.14637469800288,0.0429260827830021,0.37269970206529,"HSPB7"
"239",239,"ENSG00000186510",-0.015768081389136,0.125840023112274,0.0309862027315326,NA,"CLCNKA"
"240",240,"ENSG00000232456",0.0110041882524674,0.123139345554583,0.628406119543463,NA,NA
"241",241,"ENSG00000184908",-0.00228949190964202,0.121658889146439,0.926282768266941,0.98312324819587,"CLCNKB"
"242",242,"ENSG00000185519",0.0164562150237974,0.118043651384365,0.691450698380111,0.906727742997284,"FAM131C"
"243",243,"ENSG00000142627",-0.0615571522655049,0.126017761118864,0.264591317113462,0.677006226958635,"EPHA2"
"244",244,"ENSG00000227959",0.0117992329050805,0.12382134086304,0.54461878853666,NA,NA
"245",245,"ENSG00000224621",0.0156005407132128,0.125035454759181,0.31280329012651,NA,NA
"246",246,"ENSG00000142632",-0.0168428772977082,0.117797812501776,0.684789239469887,0.905284830670048,"ARHGEF19"
"247",247,"ENSG00000237276",0.00924495700919019,0.123893992161633,0.584810734440183,NA,NA
"248",248,"ENSG00000132881",-0.00478237431107832,0.118203355845598,0.897203768183743,0.972693203716098,"CPLANE2"
"249",249,"ENSG00000233929",-0.00811872049646822,0.123813186397374,0.624590600638533,NA,NA
"250",250,"ENSG00000037637",-0.0596223708684629,0.11919934294317,0.320192400921966,0.717511179069416,"FBXO42"
"251",251,"ENSG00000055070",-0.110441956333594,0.12619591051424,0.137972487387405,0.559346256689672,"SZRD1"
"252",252,"ENSG00000226457",-0.0139371983663097,0.124986552662902,0.299386780554569,NA,"RPL22P3"
"253",253,"ENSG00000157191",-0.129216314443359,0.157561594163929,0.0924792437618255,0.485570635682982,"NECAP2"
"254",254,"ENSG00000226029",0.0158457991627186,0.124953504638454,0.338141886236588,NA,"LINC01772"
"255",255,"ENSG00000080947",0.00162413409990399,0.122260489078462,0.948050448347804,NA,"CROCCP3"
"256",256,"ENSG00000261135",0.00997451779657717,0.124577417667623,0.405724170338203,NA,NA
"257",257,"ENSG00000224174",-0.00597657241077845,0.124488710848926,0.477615213650519,NA,NA
