"Gene_Symbol","Andocsb"
"TAS2R50","1"
"PIANP","1"
"MT-TD","0.998290982123922"
"H1-6","0.9971870604782"
"MT-CO1","0.99929118230791"
"CYGB","1.01780334155026"
"EFNA2","1.00463352990733"
"IFNE","0.987531172069826"
"MT-ND6","0.973133454598674"
"SREK1IP1","0.98316629788711"
"SPAG11B","1.00695894224078"
"DIPK2B","1.00091170488814"
"FBXL19-AS1","1"
"MT-ATP6","1.00285765961295"
"FAM27E3","0.985892116182573"
"SYCP3","0.998147004323657"
"TMIE","1"
"TMIE","1"
"MUCL1","1"
"LINC00189","1.02120190957596"
"KLHL35","0.954407294832827"
"FOXC1","1.07418303251968"
"LINC01198","0.998948032821376"
"TRIM43CP","1"
"TRIM43CP","1"
"TRIM42","1"
"FSIP1","1"
"EFCAB13","1"
"EFCAB13","1"
"GARIN3","1"
"CABCOCO1","1"
"SLC9B1P1","1.00617283950617"
"WEE2-AS1","1"
"DYNLT5","1"
"XKR6","0.998527865404837"
"TSGA13","1"
"C9orf163","1"
"SYNE3","0.985821189444663"
"CCDC141","1"
"HDX","1"
"CDYL2","1.00126368997473"
"SYT14","1"
"TECTB","1.00926705981466"
"VWA3A","0.988736432520991"
"LINC00896","1.01541623843782"
"HUS1B","0.996901466639124"
"NPB","0.931789848619768"
"STK35","0.993513287298598"
"LRRIQ3","0.994641384995878"
"KLC4","0.999863723085309"
"PRF1","1.00181018877683"
"FBXL14","1"
"FBXL14","1"
"ZNF569","0.99354609929078"
"CCSAP","0.995703395703396"
"DUSP18","0.994416873449131"
"ZNF791","0.993757132308518"
"CHRM3","1.00219033570247"
"HTRA4","1"
"LINC00525","1"
"FAM218A","1.01333894973322"
"MCRIP2","0.949656035021889"
"KCTD7","0.948441482062341"
"ZNF548","0.997745462743772"
"AMER2","1.00014029180696"
"RNF152","1.01716090060406"
"ADGRG3","1"
"TBC1D32","0.993445111433106"
"LRRC43","1"
"LRRC43","1"
"LRRC43","1"
"IRAK2","1.00020995171111"
"ICMT-DT","1"
"OTOGL","1"
"FAM76B","1.01264723443522"
"SPATA25","1.00407188991856"
"GLIS3-AS1","1"
"PRR14L","1.00039872408293"
"AJUBA","1.10186679912248"
"KLHL32","1.00028081999438"
"SLAMF9","0.998527865404837"
"GK5","1.00020288090891"
"GOLGA4-AS1","1.02339918733361"
"UBE2U","1"
"METTL27","0.959223300970874"
"LINC00638","1"
"ZC3HAV1L","0.998741082668905"
"RASGEF1B","1"
"KCNJ5-AS1","0.945435516864088"
"STOML3","1.00307651150348"
"FBXL13","1.02085082563672"
"FAM227B","1"
"SOX3","1"
"SPATA32","0.99942605701167"
"C3orf49","0.970769230769231"
"NKX2-3","1"
"TMEM252","1.05077990792277"
"FAM222A-AS1","1"
"TLE6","1.00344922737307"
"TCEANC","1"
"RTP1","1"
"RTP1","1"
"PRR35","1.00106284044108"
"CYP1B1-AS1","1"
"MAGEA2B","0.997898276586801"
"LINC00315","1"
"COL6A5","1.00042105263158"
"C4orf45","1"
"BEND2","1"
"C10orf67","1.02329382917859"
"CBY2","1.00098286998034"
"CCDC26","1.00056163998877"
"SPIC","1"
"P2RY10","1"
"IGSF22","1.00533845825326"
"ZBTB3","1.00648148148148"
"DCST1","1"
"WDFY4","1"
"KIAA0825","1"
"CSNK1G2-AS1","1"
"NATD1","1.00374081496326"
"KLHL34","1"
"ZSCAN10","0.999789429353548"
"SAMD3","1"
"GOT1L1","1.06268931910971"
"LINC02870","0.982713116917392"
"LINC00504","1"
